iter	MultiClass
0	2.475222462
1	2.263887807
2	2.168519641
3	2.066950559
4	1.981781505
5	1.921972438
6	1.876244089
7	1.822170783
8	1.777935107
9	1.730167622
10	1.690279814
11	1.631975907
12	1.59027638
13	1.544841138
14	1.511804223
15	1.475934
16	1.438161896
17	1.400687145
18	1.367774852
19	1.341667905
20	1.319182884
21	1.28936303
22	1.267213781
23	1.249925705
24	1.222261061
25	1.206350091
26	1.183499927
27	1.167477817
28	1.146902725
29	1.130704127
30	1.116246226
31	1.098314033
32	1.077184303
33	1.062251589
34	1.048696142
35	1.033836103
36	1.02063638
37	1.008221521
38	0.9980726412
39	0.9851512086
40	0.9692811006
41	0.9544958056
42	0.9350032285
43	0.9238034529
44	0.9139017117
45	0.9041930922
46	0.8935369925
47	0.8826286545
48	0.8703644923
49	0.861442963
50	0.8512197089
51	0.8431878815
52	0.8349500806
53	0.8260155923
54	0.8180707043
55	0.8092994394
56	0.8000220976
57	0.7922314443
58	0.7842792507
59	0.7754544909
60	0.7671401121
61	0.7611968582
62	0.7545844587
63	0.7473839538
64	0.7387440615
65	0.7320933085
66	0.7252675591
67	0.7197198364
68	0.7145730843
69	0.7082248243
70	0.702140204
71	0.6962675732
72	0.6908643461
73	0.6855386988
74	0.6815584192
75	0.6773135006
76	0.6720566018
77	0.6677850411
78	0.6632142986
79	0.6557447423
80	0.6499690495
81	0.6441278382
82	0.6383861872
83	0.630266065
84	0.6262377291
85	0.6214479952
86	0.6175408251
87	0.6091861875
88	0.6040141068
89	0.5996128589
90	0.5958390767
91	0.5906539709
92	0.5871176053
93	0.5844882054
94	0.5795361288
95	0.5764008362
96	0.5739267717
97	0.5711035209
98	0.5672908318
99	0.5650691286
100	0.5606141755
101	0.557007133
102	0.5543439736
103	0.5523894936
104	0.5469603622
105	0.5442783016
106	0.5408791877
107	0.5385546237
108	0.5365157713
109	0.534258609
110	0.5322363167
111	0.5306633463
112	0.5258954347
113	0.5249607019
114	0.5234238931
115	0.5222089437
116	0.518310717
117	0.5168341636
118	0.5152817968
119	0.5139987295
120	0.5127709639
121	0.5118216076
122	0.5069648767
123	0.5045481885
124	0.5018612407
125	0.5010399722
126	0.4994989921
127	0.49900761
128	0.4973739851
129	0.496346901
130	0.4954863651
131	0.4949888548
132	0.4944549335
133	0.4933843299
134	0.4930458039
135	0.4920865367
136	0.4900142831
137	0.4891530452
138	0.488268512
139	0.4868411672
140	0.4865120155
141	0.4842445635
142	0.480396273
143	0.4798616487
144	0.4792018098
145	0.4788783304
146	0.4777883103
147	0.4773922267
148	0.4767778551
149	0.4763611914
150	0.4760219268
151	0.4754727731
152	0.4751362366
153	0.4729289403
154	0.4724968321
155	0.4721425309
156	0.4716515533
157	0.4706972342
158	0.4704379853
159	0.4699299619
160	0.469275382
161	0.4689489327
162	0.4686414475
163	0.4677057561
164	0.4667118865
165	0.4663938707
166	0.4651557487
167	0.4646194014
168	0.4642798067
169	0.4635498898
170	0.4625334352
171	0.4617293124
172	0.4614282067
173	0.4607487933
174	0.4604159344
175	0.460148977
176	0.4598278476
177	0.4595161007
178	0.458813939
179	0.4585235789
180	0.4581819819
181	0.4579432493
182	0.457606828
183	0.4572920738
184	0.4570153635
185	0.4566501245
186	0.4553385327
187	0.4550914203
188	0.4544694649
189	0.4521270762
190	0.4506727993
191	0.4503250398
192	0.4499984697
193	0.4497564546
194	0.4489329561
195	0.4486403744
196	0.4479407452
197	0.4475901454
198	0.445950245
199	0.4453604277
200	0.4415711814
201	0.4404224919
202	0.4401117573
203	0.4399531837
204	0.4396632775
205	0.439053564
206	0.4385206963
207	0.4376110096
208	0.4372978989
209	0.4356966653
210	0.4348376813
211	0.4345739729
212	0.434389094
213	0.434179055
214	0.433691712
215	0.4322613853
216	0.4319883278
217	0.4316267704
218	0.4314352121
219	0.4312097706
220	0.4306055062
221	0.4300965777
222	0.4292385083
223	0.4290219867
224	0.4286758651
225	0.4285093431
226	0.4278583283
227	0.4276655419
228	0.4273957816
229	0.4270521526
230	0.4268167029
231	0.424115414
232	0.4238343146
233	0.4234669346
234	0.4232094771
235	0.4227001935
236	0.4223739109
237	0.422122359
238	0.4218547985
239	0.4217318366
240	0.4214808647
241	0.4211555477
242	0.420880772
243	0.4206357126
244	0.4203352282
245	0.4200520913
246	0.4197708796
247	0.4196254499
248	0.4194095979
249	0.4192104107
250	0.4189998584
251	0.4187162568
252	0.4182004286
253	0.4180387455
254	0.4178301508
255	0.4175905564
256	0.417381274
257	0.4171576506
258	0.416770624
259	0.4165416952
260	0.4160568175
261	0.4158073764
262	0.415564968
263	0.415150864
264	0.4149088933
265	0.4147156193
266	0.4145587123
267	0.4142830921
268	0.4140626171
269	0.4136839019
270	0.4134142637
271	0.4131333497
272	0.4129319865
273	0.4126776607
274	0.4104028445
275	0.4102819642
276	0.4100728672
277	0.4095209923
278	0.4093640373
279	0.4091472368
280	0.4090430407
281	0.408580817
282	0.4083944486
283	0.4081949396
284	0.4078434258
285	0.4076571017
286	0.4072253675
287	0.4067711317
288	0.4065703263
289	0.4035636356
290	0.4033148681
291	0.403140382
292	0.4016590334
293	0.4014417337
294	0.4012719252
295	0.4010419181
296	0.4008201249
297	0.400616618
298	0.4003851775
299	0.4001651038
