iter	Passed	Remaining
0	222	66477
1	259	38732
2	299	29624
3	334	24756
4	381	22504
5	429	21052
6	470	19682
7	510	18639
8	553	17900
9	597	17341
10	637	16750
11	682	16377
12	719	15883
13	752	15381
14	786	14939
15	824	14626
16	860	14321
17	894	14018
18	928	13726
19	961	13455
20	999	13278
21	1037	13115
22	1078	12987
23	1119	12871
24	1159	12756
25	1196	12608
26	1234	12479
27	1269	12332
28	1304	12192
29	1337	12040
30	1372	11908
31	1406	11782
32	1440	11658
33	1475	11540
34	1509	11428
35	1547	11347
36	1585	11273
37	1623	11191
38	1662	11128
39	1701	11059
40	1737	10978
41	1779	10929
42	1818	10867
43	1853	10783
44	1886	10691
45	1919	10598
46	1951	10505
47	1984	10418
48	2017	10335
49	2051	10259
50	2084	10175
51	2116	10092
52	2148	10010
53	2180	9934
54	2213	9859
55	2246	9789
56	2279	9719
57	2313	9653
58	2347	9587
59	2381	9524
60	2415	9463
61	2447	9393
62	2479	9327
63	2511	9262
64	2543	9196
65	2577	9137
66	2610	9080
67	2643	9018
68	2675	8958
69	2707	8897
70	2740	8838
71	2772	8779
72	2804	8721
73	2840	8674
74	2875	8625
75	2916	8595
76	2953	8554
77	2997	8531
78	3033	8485
79	3077	8463
80	3116	8426
81	3153	8383
82	3187	8333
83	3225	8293
84	3269	8271
85	3314	8248
86	3362	8233
87	3409	8213
88	3468	8222
89	3512	8196
90	3562	8181
91	3624	8195
92	3681	8194
93	3731	8176
94	3784	8165
95	3827	8133
96	3869	8097
97	3910	8059
98	3949	8019
99	3987	7975
100	4029	7939
101	4072	7905
102	4115	7871
103	4152	7825
104	4187	7777
105	4222	7727
106	4255	7675
107	4290	7627
108	4326	7580
109	4364	7539
110	4408	7505
111	4447	7466
112	4537	7508
113	4591	7491
114	4630	7448
115	4668	7405
116	4704	7358
117	4738	7308
118	4772	7258
119	4806	7210
120	4839	7159
121	4873	7109
122	4906	7059
123	4940	7011
124	4977	6968
125	5013	6922
126	5054	6885
127	5095	6846
128	5131	6802
129	5167	6757
130	5203	6712
131	5236	6664
132	5272	6620
133	5307	6575
134	5342	6530
135	5379	6486
136	5414	6442
137	5449	6397
138	5484	6351
139	5516	6304
140	5549	6258
141	5585	6215
142	5622	6173
143	5660	6132
144	5696	6089
145	5733	6047
146	5767	6002
147	5803	5959
148	5837	5915
149	5873	5873
150	5908	5830
151	5943	5787
152	5978	5744
153	6013	5700
154	6048	5658
155	6081	5614
156	6115	5570
157	6149	5526
158	6185	5485
159	6219	5441
160	6252	5398
161	6287	5355
162	6320	5312
163	6353	5268
164	6388	5226
165	6422	5184
166	6456	5141
167	6489	5098
168	6523	5056
169	6557	5014
170	6591	4972
171	6625	4930
172	6667	4894
173	6707	4856
174	6743	4817
175	6781	4777
176	6818	4738
177	6858	4700
178	6897	4662
179	6932	4621
180	6964	4579
181	7000	4538
182	7034	4497
183	7073	4459
184	7112	4421
185	7148	4381
186	7184	4341
187	7219	4300
188	7254	4260
189	7288	4219
190	7321	4178
191	7356	4137
192	7392	4098
193	7431	4060
194	7470	4022
195	7507	3983
196	7545	3945
197	7583	3906
198	7616	3865
199	7649	3824
200	7682	3783
201	7715	3742
202	7747	3702
203	7784	3663
204	7819	3623
205	7853	3583
206	7888	3544
207	7922	3504
208	7956	3464
209	7990	3424
210	8025	3385
211	8060	3345
212	8094	3306
213	8127	3266
214	8160	3226
215	8193	3186
216	8228	3147
217	8262	3107
218	8297	3068
219	8331	3029
220	8366	2990
221	8401	2951
222	8434	2912
223	8469	2873
224	8502	2834
225	8538	2795
226	8573	2757
227	8604	2717
228	8635	2677
229	8670	2638
230	8708	2601
231	8742	2562
232	8777	2524
233	8809	2484
234	8843	2446
235	8876	2407
236	8914	2369
237	8951	2331
238	8989	2294
239	9027	2256
240	9066	2219
241	9103	2181
242	9136	2143
243	9171	2104
244	9204	2066
245	9236	2027
246	9268	1988
247	9301	1950
248	9334	1911
249	9370	1874
250	9402	1835
251	9435	1797
252	9467	1758
253	9501	1720
254	9532	1682
255	9564	1643
256	9599	1606
257	9635	1568
258	9668	1530
259	9700	1492
260	9732	1454
261	9764	1416
262	9797	1378
263	9830	1340
264	9864	1302
265	9898	1265
266	9931	1227
267	9963	1189
268	9996	1151
269	10028	1114
270	10060	1076
271	10092	1038
272	10124	1001
273	10157	963
274	10189	926
275	10221	888
276	10254	851
277	10288	814
278	10319	776
279	10351	739
280	10385	702
281	10416	664
282	10448	627
283	10481	590
284	10514	553
285	10547	516
286	10580	479
287	10613	442
288	10646	405
289	10678	368
290	10710	331
291	10742	294
292	10776	257
293	10807	220
294	10839	183
295	10873	146
296	10906	110
297	10937	73
298	10969	36
299	11001	0
