iter	MultiClass
0	2.787895091
1	2.76263194
2	2.722780667
3	2.674934666
4	2.633904777
5	2.582439502
6	2.553401637
7	2.518181139
8	2.493627217
9	2.456539422
10	2.430180431
11	2.397518815
12	2.369136559
13	2.339908701
14	2.313120286
15	2.294727698
16	2.292852755
17	2.260921663
18	2.240427103
19	2.225011344
20	2.220463571
21	2.198749174
22	2.180411041
23	2.173165778
24	2.159417027
25	2.13885694
26	2.117878181
27	2.100049891
28	2.081137496
29	2.060294575
30	2.050055805
31	2.037811604
32	2.0157287
33	1.998977456
34	1.995144102
35	1.982020682
36	1.967903143
37	1.944716384
38	1.925453125
39	1.905541475
40	1.881537378
41	1.866346987
42	1.855844602
43	1.833533048
44	1.829402012
45	1.811583749
46	1.802121403
47	1.789026925
48	1.780673297
49	1.777087467
50	1.762929277
51	1.75460524
52	1.742455162
53	1.730760592
54	1.712228687
55	1.694591426
56	1.684078407
57	1.674966111
58	1.661209534
59	1.654663543
60	1.640874516
61	1.625511052
62	1.610576189
63	1.60116369
64	1.590791017
65	1.577232889
66	1.564607915
67	1.555394753
68	1.548592548
69	1.540591336
70	1.534381902
71	1.519138066
72	1.507644191
73	1.499493632
74	1.491928085
75	1.483679937
76	1.473530519
77	1.467643633
78	1.461781178
79	1.452689377
80	1.446172927
81	1.436967981
82	1.425477374
83	1.415171429
84	1.408958415
85	1.400045245
86	1.391601322
87	1.382764577
88	1.367444435
89	1.362686733
90	1.356806468
91	1.34539522
92	1.338310632
93	1.329513012
94	1.319626745
95	1.31124215
96	1.304991289
97	1.301293399
98	1.295889004
99	1.290294181
100	1.285186568
101	1.281081174
102	1.275127576
103	1.27100962
104	1.265256082
105	1.262608522
106	1.257915433
107	1.251770309
108	1.245064969
109	1.237730657
110	1.232485602
111	1.22846208
112	1.218018914
113	1.213116929
114	1.206822933
115	1.201127254
116	1.196605635
117	1.193108569
118	1.1866343
119	1.179738417
120	1.173655587
121	1.16351514
122	1.159625082
123	1.154600065
124	1.15097475
125	1.14735128
126	1.144270562
127	1.140890363
128	1.133254259
129	1.129887299
130	1.124969648
131	1.120862467
132	1.114210072
133	1.110794371
134	1.106648615
135	1.102989635
136	1.098172517
137	1.094669993
138	1.090481072
139	1.085746978
140	1.081439498
141	1.07378326
142	1.070466781
143	1.063552118
144	1.060175364
145	1.057809617
146	1.053349563
147	1.049282807
148	1.044527254
149	1.04198302
150	1.039169116
151	1.035467263
152	1.032649672
153	1.030050273
154	1.025798398
155	1.022395508
156	1.017456589
157	1.014529606
158	1.011290012
159	1.007451855
160	1.003193936
161	0.9991722631
162	0.9965689935
163	0.9927543492
164	0.9880709254
165	0.9852132208
166	0.9816489458
167	0.9780325895
168	0.9735413124
169	0.9704440365
170	0.9669481686
171	0.9640360198
172	0.9620261976
173	0.9581393413
174	0.9518556764
175	0.9468280903
176	0.9438373508
177	0.9408119034
178	0.9361070878
179	0.9335785577
180	0.9282766552
181	0.9219320095
182	0.9183819289
183	0.9156252608
184	0.9131091512
185	0.9094008923
186	0.9072294256
187	0.9041698829
188	0.8997558574
189	0.8968768402
190	0.8938161827
191	0.8910016891
192	0.8854226565
193	0.8833625838
194	0.8786356818
195	0.8750572961
196	0.8707037837
197	0.8679959324
198	0.8653675553
199	0.8627983492
200	0.8597257667
201	0.8570135262
202	0.8546927664
203	0.851204451
204	0.8467757252
205	0.8435438576
206	0.8408456031
207	0.8384165542
208	0.8359426194
209	0.8331411598
210	0.8306039311
211	0.8269108655
212	0.8247013062
213	0.8221995671
214	0.8184032726
215	0.8156411302
216	0.8135036879
217	0.8102964941
218	0.8081377767
219	0.8060915464
220	0.8023968075
221	0.7998884633
222	0.7974139343
223	0.7945441973
224	0.7924270793
225	0.7905501426
226	0.787138942
227	0.7837792323
228	0.7783535558
229	0.7758260906
230	0.7740187749
231	0.7715359226
232	0.7694471273
233	0.7658338689
234	0.7626016295
235	0.7593696405
236	0.7561421772
237	0.7542924097
238	0.7514610496
239	0.7494544034
240	0.7473930019
241	0.7440741876
242	0.7422650346
243	0.7398557623
244	0.7375862399
245	0.7346630913
246	0.7322002983
247	0.729824375
248	0.7264404045
249	0.7240284949
250	0.7220841961
251	0.7195881053
252	0.7174308077
253	0.7138772179
254	0.7119474181
255	0.7096430407
256	0.7074430474
257	0.7057383901
258	0.7030637458
259	0.7006572393
260	0.6979398562
261	0.6961150167
262	0.694299158
263	0.6925165974
264	0.6898932553
265	0.688056273
266	0.6849748686
267	0.6815821236
268	0.6795310613
269	0.6766963882
270	0.6738772429
271	0.6721654539
272	0.6700772669
273	0.6679847596
274	0.6660007428
275	0.6639100937
276	0.6616995651
277	0.6601675207
278	0.6586420586
279	0.6549445544
280	0.6535112746
281	0.6514369378
282	0.6497811638
283	0.647877452
284	0.644477066
285	0.642770246
286	0.6411473671
287	0.6379165756
288	0.635510496
289	0.6331707077
290	0.6309633125
291	0.6294706058
292	0.6275063363
293	0.6254986836
294	0.6241426659
295	0.62196769
296	0.6200379533
297	0.6177993592
298	0.6161167273
299	0.613016459
