iter	Passed	Remaining
0	202	60675
1	215	32039
2	227	22516
3	241	17845
4	253	14975
5	267	13093
6	280	11733
7	292	10669
8	304	9842
9	318	9231
10	331	8710
11	340	8161
12	350	7747
13	357	7302
14	364	6919
15	370	6580
16	377	6288
17	383	6010
18	391	5787
19	397	5562
20	404	5378
21	410	5189
22	416	5021
23	423	4870
24	426	4694
25	433	4570
26	439	4442
27	445	4325
28	451	4222
29	458	4125
30	464	4031
31	471	3946
32	477	3863
33	483	3784
34	490	3710
35	496	3640
36	502	3571
37	509	3511
38	516	3454
39	521	3392
40	527	3332
41	533	3280
42	540	3228
43	547	3183
44	553	3136
45	559	3091
46	562	3026
47	568	2984
48	574	2944
49	581	2908
50	588	2872
51	595	2838
52	602	2805
53	608	2771
54	614	2737
55	620	2702
56	626	2671
57	632	2639
58	638	2607
59	645	2580
60	651	2553
61	659	2529
62	665	2503
63	671	2476
64	677	2451
65	684	2426
66	690	2400
67	695	2372
68	701	2347
69	707	2326
70	714	2303
71	720	2282
72	726	2260
73	733	2240
74	739	2218
75	745	2196
76	751	2177
77	757	2157
78	765	2140
79	770	2119
80	776	2099
81	782	2080
82	788	2062
83	795	2046
84	802	2029
85	810	2017
86	817	2001
87	824	1985
88	832	1974
89	839	1959
90	848	1949
91	856	1935
92	864	1923
93	870	1907
94	877	1893
95	884	1879
96	891	1866
97	897	1849
98	902	1831
99	909	1818
100	915	1803
101	922	1790
102	928	1776
103	934	1761
104	941	1748
105	947	1733
106	953	1719
107	958	1704
108	963	1689
109	970	1676
110	976	1662
111	981	1647
112	987	1634
113	992	1619
114	998	1605
115	1004	1593
116	1010	1580
117	1016	1568
118	1022	1555
119	1028	1543
120	1035	1531
121	1041	1519
122	1048	1509
123	1055	1497
124	1061	1485
125	1067	1473
126	1073	1461
127	1080	1451
128	1088	1442
129	1099	1437
130	1104	1425
131	1114	1418
132	1120	1407
133	1129	1399
134	1135	1388
135	1142	1377
136	1148	1366
137	1154	1355
138	1162	1346
139	1168	1335
140	1179	1330
141	1186	1319
142	1196	1313
143	1202	1302
144	1212	1295
145	1218	1285
146	1226	1276
147	1233	1266
148	1239	1256
149	1245	1245
150	1251	1234
151	1257	1224
152	1263	1214
153	1270	1204
154	1276	1194
155	1283	1184
156	1289	1174
157	1295	1164
158	1302	1154
159	1308	1144
160	1314	1134
161	1319	1124
162	1326	1114
163	1332	1105
164	1338	1095
165	1344	1085
166	1350	1075
167	1356	1065
168	1364	1057
169	1370	1048
170	1376	1038
171	1382	1028
172	1388	1019
173	1394	1009
174	1400	1000
175	1407	991
176	1413	982
177	1420	973
178	1426	964
179	1432	955
180	1438	945
181	1444	936
182	1450	927
183	1455	917
184	1462	908
185	1467	899
186	1475	891
187	1480	882
188	1486	873
189	1493	864
190	1500	856
191	1507	847
192	1513	839
193	1519	830
194	1526	821
195	1532	813
196	1538	804
197	1545	796
198	1552	788
199	1558	779
200	1565	771
201	1572	762
202	1578	754
203	1585	746
204	1592	737
205	1598	729
206	1605	721
207	1611	712
208	1618	704
209	1624	696
210	1631	688
211	1636	679
212	1643	671
213	1649	662
214	1656	654
215	1663	646
216	1669	638
217	1676	630
218	1682	622
219	1688	614
220	1695	605
221	1701	597
222	1707	589
223	1714	581
224	1720	573
225	1726	565
226	1733	557
227	1740	549
228	1746	541
229	1752	533
230	1759	525
231	1765	517
232	1771	509
233	1777	501
234	1783	493
235	1789	485
236	1796	477
237	1802	469
238	1808	461
239	1815	453
240	1821	446
241	1828	438
242	1834	430
243	1841	422
244	1847	414
245	1854	407
246	1860	399
247	1867	391
248	1873	383
249	1880	376
250	1887	368
251	1893	360
252	1900	353
253	1906	345
254	1913	337
255	1919	329
256	1925	322
257	1932	314
258	1939	306
259	1945	299
260	1951	291
261	1958	284
262	1964	276
263	1971	268
264	1978	261
265	1984	253
266	1991	246
267	1998	238
268	2005	231
269	2012	223
270	2018	216
271	2025	208
272	2031	200
273	2038	193
274	2044	185
275	2051	178
276	2057	170
277	2064	163
278	2070	155
279	2077	148
280	2083	140
281	2090	133
282	2096	125
283	2103	118
284	2109	111
285	2115	103
286	2122	96
287	2128	88
288	2135	81
289	2141	73
290	2148	66
291	2154	59
292	2160	51
293	2166	44
294	2172	36
295	2179	29
296	2186	22
297	2192	14
298	2198	7
299	2205	0
